stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,zone_id
"19495","52296",צומת המצודות/תל חי,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.222923",35.575412,false,,"52296"
"19496","52297",בית העלמין,רחוב: 90 עיר: קרית שמונה רציף:  קומה: ,"33.227684",35.577741,false,,"52297"
"19497","52298",בית ספר קורצק/יהודה הלוי,רחוב: יהודה הלוי 12 עיר: קרית שמונה רציף:  קומה: ,"33.215618",35.568284,false,,"52298"
"19500","52301",הר הצופים/יקותיאל אדם,רחוב: הר הצופים 17 עיר: קרית שמונה רציף:  קומה: ,"33.220569",35.568218,false,,"52301"
"19679","52503",צומת המצודות/תל חי,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.221470",35.573999,false,,"52503"
"19742","52599",עולי הגרדום/הרב קוק,רחוב: עולי הגרדום 35 עיר: קרית שמונה רציף:  קומה: ,"33.199401",35.565135,false,,"52599"
"19743","52600",עולי הגרדום,רחוב: עולי הגרדום 33 עיר: קרית שמונה רציף:  קומה: ,"33.200691",35.565821,false,,"52600"
"19744","52601",הרצל/עולי הגרדום,רחוב: הרצל 47 עיר: קרית שמונה רציף:  קומה: ,"33.205407",35.567714,false,,"52601"
"19751","52608",יקותיאל אדם/יהודה הלוי,רחוב: יקותיאל אדם עיר: קרית שמונה רציף:  קומה: ,"33.218856",35.568658,false,,"52608"
"19752","52609",הר הצופים,רחוב: הר הצופים 8 עיר: קרית שמונה רציף:  קומה: ,"33.222023",35.56862,false,,"52609"
"19753","52610",הר הצופים/יקותיאל אדם,רחוב: הר הצופים 18 עיר: קרית שמונה רציף:  קומה: ,"33.220316",35.568171,false,,"52610"
"19758","52615",מסעף תל חי,רחוב: 9977 עיר: הגליל העליון רציף:  קומה: ,"33.235975",35.579481,false,,"52615"
"19780","52637",קרן היסוד/הירדן,רחוב: קרן היסוד 2 עיר: קרית שמונה רציף:  קומה: ,"33.203086",35.575328,false,,"52637"
"19781","52638",כצנלסון/ששת הימים,רחוב: ברל כצנלסון 19 עיר: קרית שמונה רציף:  קומה: ,"33.204130",35.565744,false,,"52638"
"19782","52639",הרצל/יצחק שדה,רחוב: הרצל 100 עיר: קרית שמונה רציף:  קומה: ,"33.200322",35.566939,false,,"52639"
"19783","52640",הרצל/כצנלסון,רחוב: הרצל 31 עיר: קרית שמונה רציף:  קומה: ,"33.207964",35.567488,false,,"52640"
"19784","52641",עולי הגרדום,רחוב: עולי הגרדום 34 עיר: קרית שמונה רציף:  קומה: ,"33.200678",35.565697,false,,"52641"
"19785","52642",הירדן/משאש,רחוב: הירדן 22 עיר: קרית שמונה רציף:  קומה: ,"33.207806",35.574812,false,,"52642"
"19786","52643",בית ספר דנציגר/הירדן,רחוב: הירדן 30 עיר: קרית שמונה רציף:  קומה: ,"33.204903",35.575372,false,,"52643"
"19787","52644",הירדן/שפרינצק,רחוב: הירדן 17 עיר: קרית שמונה רציף:  קומה: ,"33.208616",35.574338,false,,"52644"
"19789","52646",יהודה הלוי/רזיאל,רחוב: יהודה הלוי 9 עיר: קרית שמונה רציף:  קומה: ,"33.215797",35.568593,false,,"52646"
"19790","52647",קופת חולים/רשי,רחוב: רש''י 8 עיר: קרית שמונה רציף:  קומה: ,"33.218594",35.573676,false,,"52647"
"19791","52648",יהודה הלוי/גלעד,רחוב: יהודה הלוי 6 עיר: קרית שמונה רציף:  קומה: ,"33.217264",35.568824,false,,"52648"
"19792","52649",בית ספר עוזיאל/יקותיאל אדם,רחוב: יקותיאל אדם עיר: קרית שמונה רציף:  קומה: ,"33.222489",35.57035,false,,"52649"
"19793","52650",הר הצופים/הר כרמל,רחוב: הר הצופים 7 עיר: קרית שמונה רציף:  קומה: ,"33.222264",35.568866,false,,"52650"
"19796","52653",קרן היסוד/הנרייטה סאלד,רחוב: קרן היסוד 7 עיר: קרית שמונה רציף:  קומה: ,"33.200857",35.575329,false,,"52653"
"19797","52654",קרן היסוד/הירדן,רחוב: קרן היסוד 5 עיר: קרית שמונה רציף:  קומה: ,"33.202020",35.575259,false,,"52654"
"19798","52655",תל חי/רש''י,רחוב: תל חי עיר: קרית שמונה רציף:  קומה: ,"33.219877",35.572785,false,,"52655"
